Etc/UTC,Open,High,Low,Close,Volume
2006-01-02T05:18:00+00:00,1.18431,1.1845,1.18431,1.18431,372400000
2006-01-02T05:19:00+00:00,1.18447,1.18448,1.18432,1.18432,312700000
2006-01-02T05:20:00+00:00,1.18428,1.18443,1.18428,1.18439,493200000
2006-01-02T05:21:00+00:00,1.18441,1.18451,1.18433,1.18438,728500000
2006-01-02T05:22:00+00:00,1.18428,1.18448,1.18428,1.1844,497200000
2006-01-02T05:23:00+00:00,1.18439,1.18448,1.18433,1.18446,441500000
2006-01-02T05:24:00+00:00,1.18439,1.18449,1.18431,1.18431,361000000
2006-01-02T05:25:00+00:00,1.18451,1.18451,1.18432,1.18433,387100000
2006-01-02T05:26:00+00:00,1.18436,1.1845,1.18428,1.1845,292000000
2006-01-02T05:27:00+00:00,1.18443,1.18452,1.1843,1.18445,253500000
2006-01-02T05:28:00+00:00,1.18438,1.18453,1.18426,1.18446,425200000
2006-01-02T05:29:00+00:00,1.18445,1.18451,1.18433,1.18442,291200000
2006-01-02T05:30:00+00:00,1.18454,1.18454,1.18444,1.18445,300100000
2006-01-02T05:31:00+00:00,1.18445,1.18451,1.18432,1.18432,626800000
2006-01-02T05:32:00+00:00,1.18439,1.1845,1.18438,1.18446,385600000
2006-01-02T05:33:00+00:00,1.18446,1.18451,1.18418,1.1843,728200000
2006-01-02T05:34:00+00:00,1.18436,1.18447,1.18432,1.18437,264700000
2006-01-02T05:35:00+00:00,1.18435,1.18446,1.18431,1.18431,241300000
2006-01-02T05:36:00+00:00,1.18438,1.18451,1.18425,1.18425,468400000
2006-01-02T05:37:00+00:00,1.18436,1.18448,1.18434,1.18443,720700000
2006-01-02T05:38:00+00:00,1.18443,1.18451,1.18424,1.18432,563300000
2006-01-02T05:39:00+00:00,1.18437,1.18449,1.18435,1.18446,441800000
2006-01-02T05:40:00+00:00,1.18429,1.18449,1.18428,1.18435,292300000
2006-01-02T05:41:00+00:00,1.18443,1.18448,1.1843,1.18439,367800000
2006-01-02T05:42:00+00:00,1.18442,1.18449,1.18431,1.18436,517100000
2006-01-02T05:43:00+00:00,1.18441,1.18449,1.18429,1.18439,907400000
2006-01-02T05:44:00+00:00,1.18445,1.18452,1.18433,1.18437,227400000
2006-01-02T05:45:00+00:00,1.18445,1.18452,1.18438,1.18438,402900000
2006-01-02T05:46:00+00:00,1.18437,1.18454,1.18435,1.18444,713600000
2006-01-02T05:47:00+00:00,1.18441,1.1845,1.18437,1.18449,739600000
2006-01-02T05:48:00+00:00,1.18437,1.18447,1.18435,1.18443,474900000
2006-01-02T05:49:00+00:00,1.18436,1.18446,1.18432,1.18444,398700000
2006-01-02T05:50:00+00:00,1.18438,1.18448,1.18432,1.18445,400300000
2006-01-02T05:51:00+00:00,1.18452,1.18452,1.18439,1.18439,390100000
2006-01-02T05:52:00+00:00,1.18436,1.18447,1.18433,1.18438,412400000
2006-01-02T05:53:00+00:00,1.18428,1.18442,1.18428,1.18433,493200000
2006-01-02T05:54:00+00:00,1.18447,1.18448,1.18434,1.18434,244700000
2006-01-02T05:55:00+00:00,1.1844,1.18451,1.18436,1.18437,263900000
2006-01-02T05:56:00+00:00,1.18442,1.1845,1.1843,1.18439,449600000
2006-01-02T05:57:00+00:00,1.18438,1.18447,1.18431,1.18437,367200000
2006-01-02T05:58:00+00:00,1.18438,1.18453,1.1843,1.18453,496500000
2006-01-02T05:59:00+00:00,1.18442,1.1845,1.18439,1.1844,214400000
2006-01-02T06:00:00+00:00,1.18435,1.18452,1.18435,1.18443,322300000
2006-01-02T06:01:00+00:00,1.18433,1.18448,1.18433,1.18444,345100000
2006-01-02T06:02:00+00:00,1.1844,1.18452,1.18427,1.18452,311300000
2006-01-02T06:03:00+00:00,1.18437,1.18448,1.18431,1.18445,398300000
2006-01-02T06:04:00+00:00,1.18443,1.18452,1.18436,1.18443,638500000
2006-01-02T06:05:00+00:00,1.18441,1.18453,1.18438,1.18447,549100000
2006-01-02T06:06:00+00:00,1.18454,1.18454,1.18436,1.18442,512400000
2006-01-02T06:07:00+00:00,1.18431,1.18447,1.18426,1.18433,355400000
2006-01-02T06:08:00+00:00,1.18438,1.18451,1.18438,1.18446,584700000
2006-01-02T06:09:00+00:00,1.18447,1.18449,1.18433,1.18436,507700000
2006-01-02T06:10:00+00:00,1.18438,1.18448,1.18428,1.18433,422600000
2006-01-02T06:11:00+00:00,1.18438,1.18453,1.18426,1.18433,427400000
2006-01-02T06:12:00+00:00,1.18431,1.18453,1.18421,1.18453,342600000
2006-01-02T06:13:00+00:00,1.1845,1.18451,1.1843,1.18432,538900000
2006-01-02T06:14:00+00:00,1.18451,1.18451,1.18426,1.18435,664400000
2006-01-02T06:15:00+00:00,1.18438,1.18453,1.18423,1.18432,385900000
2006-01-02T06:16:00+00:00,1.18437,1.18445,1.18433,1.18444,347100000
2006-01-02T06:17:00+00:00,1.18435,1.18449,1.18435,1.18445,454300000
2006-01-02T06:18:00+00:00,1.18429,1.18449,1.18429,1.18445,631200000
2006-01-02T06:19:00+00:00,1.18445,1.18452,1.18425,1.18425,466400000
2006-01-02T06:20:00+00:00,1.18438,1.18448,1.18433,1.18435,333100000
2006-01-02T06:21:00+00:00,1.18438,1.18452,1.18436,1.18445,926200000
2006-01-02T06:22:00+00:00,1.18444,1.1845,1.1843,1.1843,483000000
2006-01-02T06:23:00+00:00,1.18438,1.18449,1.18433,1.1844,910300000
2006-01-02T06:24:00+00:00,1.18445,1.18453,1.18437,1.18437,803900000
2006-01-02T06:25:00+00:00,1.18438,1.18452,1.18433,1.18446,243900000
2006-01-02T06:26:00+00:00,1.18435,1.18452,1.18432,1.18448,651200000
2006-01-02T06:27:00+00:00,1.18443,1.1845,1.18429,1.18436,318800000
2006-01-02T06:28:00+00:00,1.1844,1.18449,1.18432,1.18438,345500000
2006-01-02T06:29:00+00:00,1.18447,1.18452,1.18433,1.18445,592200000
2006-01-02T06:30:00+00:00,1.18451,1.18451,1.18437,1.18438,311700000
2006-01-02T06:31:00+00:00,1.18445,1.18452,1.18432,1.18437,726200000
2006-01-02T06:32:00+00:00,1.18442,1.18448,1.18437,1.18443,660600000
2006-01-02T06:33:00+00:00,1.18445,1.18451,1.18437,1.18437,308600000
2006-01-02T06:34:00+00:00,1.18437,1.18449,1.18435,1.18435,471500000
